id, actor
77, Albert Finney
77, Marisa Tomei
78, River Phoenix
78, Judy Davis
78, Jonathan Pryce
78, Karen Black
79, Weronika Marszalec
79, Marcin Labno
79, Katarzyna Figura
79, Majka Jezowska
80, Chris Tucker
80, Jackie Chan
80, Max von Sydow
80, Hiroyuki Sanada
81, Jennifer Farley
81, Elizabeth Stevens
81, Gracemarie Serafina
81, Julie Garibaldi
82, Gregory Corso
82, Allen Ginsberg
82, William S. Burroughs
82, Ethan Hawke
83, Milton Berry
83, Gretchen Bieber
83, Billy Brakhage
83, Jolyn Duncan
84, N/A
85, Woody Harrelson
85, Simon Pegg
85, Phil Daniels
85, Jay Simpson
86, Teiki Pambrum
86, Hereiti Biron
86, Papa Matarau
86, Lena Grell
87, James Doherty
87, Isabel Brook
87, Stuart Laing
87, Daisy Beaumont
88, Shane Black
88, Frank A. Cappello
88, Sharon Y. Cobb
88, Ronald D. Moore
89, Panther Bior
89, John Bul Dau
89, Nicole Kidman
89, Daniel Abol Pach
90, Alan Arkin
90, Lauren Holly
90, Glenne Headly
90, Barbara Dana
91, Gretchen Becker
91, Alex A. Quinn
91, Martin Landau
91, Sean Delgado
92, Harald Krassnitzer
92, Catrin Striebeck
92, Anna Fischer
92, Hanno Koffler
93, Darren Campbell
93, Jay Boyer
93, J.J. Donier
93, Lucie Laurier
94, Briel DiCristofaro
94, Andrew Bowen
94, Michael Cade
94, John McLoughlin
95, Harry Belafonte
95, Joy Bryant
95, Nick Cannon
95, Emilio Estevez
96, Lee Majors
96, Barry Corbin
96, Reginald VelJohnson
96, Margaret Avery
97, Charlie Ballard
97, Carlos Diaz
97, Jennifer Lippold
97, Wayne Lippold
98, Paul Sanderson
98, Sterling Walbrook
98, Robert Bennett
98, Cliff Jenkins
99, Melissa McHenry
99, Mark Strohman
100, Kent Harper
100, Scott Rudolph
100, Frank Alvarez
100, Fiona Angus
101, Chris Pine
101, Amanda Peet
101, Samuel L. Jackson
101, Hayden Christensen
102, Marko Zaror
102, Hugo Stiglitz
102, Susana González
102, Francisco Calvo
103, Barry Primus
103, Charles Robinson
103, Steve Guttenberg
103, Debra Jo Rupp
104, Gary McFarland
104, Bob Brookmeyer
104, Joe Beck
104, John Calley
105, Arjun Rampal
105, Ameesha Patel
105, Bobby Deol
105, Achint Kaur
106, Devin Anand
106, Sanjay
106, Ajay Vidure
106, Gugun Deep Singh
107, Okan Bayülgen
107, Semih Sergen
107, Zaven Cigdemoglu
107, Selahattin Duman
108, Ceci Chuh
108, Birol Ünel
108, Pascale Schiller
108, Georg Friedrich
109, Amitabh Bachchan
109, Farhan Akhtar
109, Aditi Rao Hydari
109, Manav Kaul
110, Owen Wilson
110, Paul Newman
110, Bonnie Hunt
110, Larry the Cable Guy
111, Terrence Mann
111, Steven Earl-Edwards
111, Ryan McWhorter
111, Liza Vann
112, Tiffany Paralta
112, Rob Vidal
112, Lisa Ferber
112, Jacqui Holland
113, Tom Cruise
113, Philip Seymour Hoffman
113, Ving Rhames
113, Billy Crudup
114, Juano Aguiar
114, Sandra Ballesteros
114, Victoria Carreras
114, Iván De Pineda
115, Serena Scott Thomas
115, Brett Cullen
115, Christian Martin
115, Bruce Payne
116, Paul McCarthy
116, Michael Langridge
116, Roz Povey
116, Jonathan Rhodes
117, Da Brat
117, Ellen Burstyn
117, Terryl Daluz
117, Taye Diggs
118, Viktor Ageyev
118, Antal Bolvari
118, János Bük
118, Sándor Csoóri
119, Sergio Podelei
119, Sabrina Garciarena
119, Ramiro Larrinaga
119, Rosario Palma
120, Barry Alan Levine
120, Kathleen Antonia
120, David Clennon
120, James Carraway
121, Lito Cruz
121, Rubén Stella
121, Floria Bloise
121, Enrique Liporace
122, Erin Kelly
122, Diane Gaidry
122, Laura Breckenridge
122, Michelle Horn
123, Norman Briski
123, Raúl Calandra
123, Noelia Campo
123, Jaquelina Delle Ville
124, Brittania Nicol
124, Henry Garrett
124, James Mapes
124, Lesley Mackie
125, Alessio Boni
125, Michele Placido
125, Isabella Ferrari
125, Alina Nedelea
126, Cary Wayne Moore
126, Michael David Lally
126, Jesselynn Desmond
126, Ron Jeremy
127, John Francis Daley
127, Austin Pendleton
127, Colleen Camp
127, Neil Flynn
128, Juanjo Puigcorbé
128, David Carradine
128, Mercedes Sampietro
128, Emilio Gutiérrez Caba
129, Philip Winchester
129, Tim Draxl
129, Lacey Chabert
129, Abigail Spencer
130, Bruce Willis
130, Garry Shandling
130, Steve Carell
130, Wanda Sykes
131, David Andriole
131, Giovanna Brokaw
131, Darryl Sims
131, Deborah Carson
132, Dakota Fanning
132, Teri Hatcher
132, Jennifer Saunders
132, Dawn French
133, Andrew Casey
133, Lauren Bigby
133, Sarah Canon
133, Joe Wells
134, Q'orianka Kilcher
134, Misty Upham
135, Fort Atkinson
135, Lynda Carter
135, Stephanie Dees
135, Holgie Forrester
136, N/A
137, Salman Khan
137, Ali Larter
137, Nandana Sen
137, Ian Bohen
138, Pat Morita
138, Martin Kove
138, Ian Lithgow
138, Dean Haglund
139, Elana Antone
139, Elena Antonenko
139, Scott Bridges
139, Rich Duva
140, John Hurt
141, Gordon Alexander
141, Elizabeth Tan
141, Neil Rayment
141, Adrian Rayment
142, Jan Lindkvist
143, Daniel Ball
143, Ande Cira
143, Michael Callahan
143, Frankie J. Mosca
144, Felissa Rose
144, Salvatore Paul Piro
144, Danny Lopes
144, Ellen Sandweiss
145, Stephanie Farrell
145, Betsy Kelso
145, Mary Monahan
145, Kurt Elftmann
146, N/A
147, Rafael Rocha
147, Dandara Guerra
147, Bem Gil
147, Fábio Azevedo
148, Derek Denham
148, Mark Brock
148, Candace Posluszny
148, Deirdre Tracey
149, Sam Riley
149, Garrett Hedlund
149, Kristen Stewart
149, Amy Adams
150, Sam Logan Khaleghi
150, Jennifer Jelsema
150, Mark Boyd
150, Alaina Fleming
151, Will Wallace
151, Joe Unger
151, Bruce Glover
151, Barbara Chisholm
152, Andrea Beltrão
152, Paulo Betti
152, Ingrid Borgoin
152, Gabriel Braga Nunes
153, Dominic Chianese
153, Dick Latessa
153, Kate Buddeke
153, Catherine Lloyd Burns
154, Phyllis Somerville
154, Eric Bana
154, Horatio Sanz
154, Drew Barrymore
155, Chevy Chase
155, Kari Matchett
155, James Purefoy
155, Joan Plowright
156, Lucci Ferreira
156, María Dulce Saldanha
156, Pietro Mário
156, Daisy Granados
157, Frederick Koehler
157, Sean Patrick Flanery
157, Brianna Brown
157, Dina Meyer
158, Steven Man
158, Kaarina Aufranc
158, Joe Toppe
158, Quinn K. Redeker
159, Andrei Codrescu
160, John Savage
160, Sean Young
160, Michael Bondies
160, Kat Ogden
161, Matt Damon
161, Angelina Jolie
161, Alec Baldwin
161, Tammy Blanchard
162, Smriti Mishra
162, Namrata Singh Gujral
162, Amit Garg
162, Rupinder Nagra
163, Freddie Highmore
163, Mia Farrow
163, Ron Crawford
163, Penny Balfour
164, Robin Tunney
164, Joel Edgerton
164, Cybill Shepherd
164, Matt Keeslar
165, Michael Lazar
165, Michael Madsen
165, Neal McDonough
165, James Russo
166, Mireia Aixalà
166, Martin Aslan
166, Anna Azcona
166, Carlota Benet
167, Michael Jai White
167, Julian Sands
167, Eamonn Walker
167, Dante Basco
168, Casidee Riley
168, Sommer Fain
168, Zak Kreiter
168, Daniel Paul Schafer
169, Brandon Routh
169, Kate Bosworth
169, Kevin Spacey
169, James Marsden
170, Samuel L. Jackson
170, Julianne Moore
170, Edie Falco
170, Ron Eldard
171, Craig Aaronson
171, Colin Abrahall
171, Adri
171, Lorraine Ali
172, Jean-Claude Carrière
172, Thierry Frémont
172, Labina Mitevska
172, Vlado Jovanovski
173, Shaun Baker
173, Busta Rhymes
173, Bubba Smith
173, Xzibit
174, Christopher Lambert
174, Blanca Marsillach
174, Brian Blessed
174, Szonja Oroszlán
175, Christos Sourmelis
175, Marissa Becker
175, Dain Blanton
175, Giovani Capone
176, Ludwika Paleta
176, Plutarco Haza
176, Evangelina Sosa
176, Mariana Beyer
177, Jessica Schwarz
177, Ulrich Thomsen
177, Tobias Moretti
177, Barbara Auer
178, Chete Lera
178, Neus Asensi
178, Manuel Manquiña
178, Belén Constenla
179, Johan Schyberg
179, Vladimir Dikanski
179, Georgi Staykov
179, Erich Silva
180, Dimpel
180, Frank Reidock
180, Nicole Unger
181, C. Thomas Howell
181, Jeff Stearns
181, Tara D'Agostino
181, Fred Willard
182, Kathy Brolly
182, Carl Crew
182, Vincent DeMarco
182, Damian Disterdick
183, Gael García Bernal
183, Charlotte Gainsbourg
183, Alain Chabat
183, Miou-Miou
184, Júlio Andrade
184, José Vitor Castiel
184, Michele Frantz
184, Rita Lee
185, Peer Mascini
186, Chad Fifer
186, Chris Sarandon
186, Danielle Fishel
186, Tim Curry
187, Jesse James
187, Reiley McClendon
187, Stephen Baldwin
187, Tom Sizemore
188, Rafael Ferro
188, Nicolás Mateo
188, Jimena Anganuzzi
188, Leonora Balcarce
189, Belinda McClory
189, Aaron Pedersen
189, Chris Baz
189, Anthony Phelan
190, Ben Stiller
190, Kristen Wiig
190, Jon Daly
190, Kathryn Hahn
191, James Marsden
191, Giovanni Ribisi
191, Brad Renfro
191, Piper Perabo
