ID,ALIAS,FULL_NAME,CLUB,LEAGUE,NATIONALITY,OVERALL
215316,G. Rulli,Gerónimo Rulli,Real Sociedad,Spanish Primera División,Argentina,83
213565,T. Lemar,Thomas Lemar,AS Monaco,French Ligue 1,France,83
212814,João Mário,João Mário Naval Costa Eduardo,Inter,Italian Serie A,Portugal,83
212190,N. Süle,Niklas Süle,FC Bayern Munich,German Bundesliga,Germany,83
210257,Ederson,Ederson Santana de Moraes,Manchester City,English Premier League,Brazil,83
209658,L. Goretzka,Leon Goretzka,FC Schalke 04,German Bundesliga,Germany,83
209499,Fabinho,Fábio Henrique Tavares,AS Monaco,French Ligue 1,Brazil,83
209331,M. Salah,Mohamed Salah,Liverpool,English Premier League,Egypt,83
208596,A. Belotti,Andrea Belotti,Torino,Italian Serie A,Italy,83
208448,E. Forsberg,Emil Forsberg,RB Leipzig,German Bundesliga,Sweden,83
207865,Marquinhos,Marcos Aoas Corrêa,Paris Saint-Germain,French Ligue 1,Brazil,83
207566,William Carvalho,William Silva de Carvalho,Sporting CP,Portuguese Primeira Liga,Portugal,83
205600,S. Umtiti,Samuel Umtiti,FC Barcelona,Spanish Primera División,France,83
204485,R. Mahrez,Riyad Mahrez,Leicester City,English Premier League,Algeria,83
203376,V. van Dijk,Virgil van Dijk,Southampton,English Premier League,Netherlands,83
201942,Roberto Firmino,Roberto Firmino Barbosa de Oliveira,Liverpool,English Premier League,Brazil,83
200888,Danilo Pereira,Danilo Luís Hélio Pereira,FC Porto,Portuguese Primeira Liga,Portugal,83
199715,Vitolo,Víctor Machín Pérez,UD Las Palmas,Spanish Primera División,Spain,83
199482,A. Lopes,Anthony Lopes,Olympique Lyonnais,French Ligue 1,Portugal,83
198176,S. de Vrij,Stefan de Vrij,Lazio,Italian Serie A,Netherlands,83
198009,M. Perin,Mattia Perin,Genoa,Italian Serie A,Italy,83
197061,J. Matip,Joel Matip,Liverpool,English Premier League,Cameroon,83
193474,I. Gueye,Idrissa Gueye,Everton,English Premier League,Senegal,83
192629,Iago Aspas,Iago Aspas Juncal,RC Celta de Vigo,Spanish Primera División,Spain,83
192387,C. Immobile,Ciro Immobile,Lazio,Italian Serie A,Italy,83
192366,N. Otamendi,Nicolás Otamendi,Manchester City,English Premier League,Argentina,83
191180,J. Pastore,Javier Pastore,Paris Saint-Germain,French Ligue 1,Argentina,83
189513,Parejo,Daniel Parejo Muñoz,Valencia CF,Spanish Primera División,Spain,83
189358,S. Kagawa,Shinji Kagawa,Borussia Dortmund,German Bundesliga,Japan,83
189125,G. Bonaventura,Giacomo Bonaventura,Milan,Italian Serie A,Italy,83
189068,B. Dost,Bas Dost,Sporting CP,Portuguese Primeira Liga,Netherlands,83
188377,K. Walker,Kyle Walker,Manchester City,English Premier League,England,83
188152,Oscar,Oscar dos Santos Emboaba,,,Brazil,83
187936,S. N'Zonzi,Steven N'Zonzi,Sevilla FC,Spanish Primera División,France,83
186547,M. Musacchio,Mateo Musacchio,Milan,Italian Serie A,Argentina,83
185239,O. Toprak,Ömer Toprak,Borussia Dortmund,German Bundesliga,Turkey,83
185020,José Callejón,José María Callejón Bueno,Napoli,Italian Serie A,Spain,83
184826,Adrien Silva,Adrien S. Perruchet Silva,,,Portugal,83
184431,S. Giovinco,Sebastian Giovinco,Toronto FC,USA Major League Soccer,Italy,83
184144,N. Gaitán,Nicolás Gaitán,Atlético Madrid,Spanish Primera División,Argentina,83
181783,M. Mandžukić,Mario Mandžukić,Juventus,Italian Serie A,Croatia,83
180819,A. Lallana,Adam Lallana,Liverpool,English Premier League,England,83
179784,B. Höwedes,Benedikt Höwedes,Juventus,Italian Serie A,Germany,83
178562,E. Banega,Éver Banega,Sevilla FC,Spanish Primera División,Argentina,83
178005,Rui Patrício,Rui Pedro dos Santos Patrício,Sporting CP,Portuguese Primeira Liga,Portugal,83
177683,Y. Sommer,Yann Sommer,Borussia Mönchengladbach,German Bundesliga,Switzerland,83
177388,D. Payet,Dimitri Payet,Olympique de Marseille,French Ligue 1,France,83
177358,M. Schneiderlin,Morgan Schneiderlin,Everton,English Premier League,France,83
176769,Jonas,Jonas Gonçalves Oliveira,SL Benfica,Portuguese Primeira Liga,Brazil,83
173771,L. Piszczek,Łukasz Piszczek,Borussia Dortmund,German Bundesliga,Poland,83
170481,E. Garay,Ezequiel Garay,Valencia CF,Spanish Primera División,Argentina,83
167905,A. Valencia,Antonio Valencia,Manchester United,English Premier League,Ecuador,83
163587,K. Schmeichel,Kasper Schmeichel,Leicester City,English Premier League,Denmark,83
162240,M. Dembélé,Moussa Dembélé,Tottenham Hotspur,English Premier League,Belgium,83
161956,Borja Valero,Borja Valero Iglesias,Inter,Italian Serie A,Spain,83
159147,L. Perrin,Loïc Perrin,AS Saint-Étienne,French Ligue 1,France,83
158963,L. Biglia,Lucas Biglia,Milan,Italian Serie A,Argentina,83
146748,Diego López,Diego López Rodríguez,RCD Espanyol,Spanish Primera División,Spain,83
146562,Santi Cazorla,Santiago Cazorla González,Arsenal,English Premier League,Spain,83
142754,J. Mascherano,Javier Mascherano,FC Barcelona,Spanish Primera División,Argentina,83
139869,W. Sneijder,Wesley Sneijder,OGC Nice,French Ligue 1,Netherlands,83
139068,Nani,Luís Carlos Almeida da Cunha,Lazio,Italian Serie A,Portugal,83
53302,D. De Rossi,Daniele De Rossi,Roma,Italian Serie A,Italy,83
24630,José Reina,José Manuel Reina Páez,Napoli,Italian Serie A,Spain,83
20775,Quaresma,Ricardo Andrade Quaresma Bernardo,Beşiktaş JK,Turkish Süper Lig,Portugal,83
20289,Y. Touré,Yaya Touré,Manchester City,English Premier League,Ivory Coast,83
5479,Casillas,Iker Casillas Fernández,FC Porto,Portuguese Primeira Liga,Spain,83
230621,G. Donnarumma,Gianluigi Donnarumma,Milan,Italian Serie A,Italy,82
222492,L. Sané,Leroy Sané,Manchester City,English Premier League,Germany,82
219809,T. Bakayoko,Tiémoué Bakayoko,Chelsea,English Premier League,France,82
219683,C. Tolisso,Corentin Tolisso,FC Bayern Munich,German Bundesliga,France,82
216594,N. Fekir,Nabil Fekir,Olympique Lyonnais,French Ligue 1,France,82
216451,J. Seri,Jean Michaël Seri,OGC Nice,French Ligue 1,Ivory Coast,82
215785,K. Baldé Diao,Keita Baldé Diao,AS Monaco,French Ligue 1,Senegal,82
213331,J. Tah,Jonathan Tah,Bayer 04 Leverkusen,German Bundesliga,Germany,82
212404,F. Bernardeschi,Federico Bernardeschi,Juventus,Italian Serie A,Italy,82
212188,T. Werner,Timo Werner,RB Leipzig,German Bundesliga,Germany,82
211575,André Gomes,André Filipe Tavares Gomes,FC Barcelona,Spanish Primera División,Portugal,82
211300,A. Martial,Anthony Martial,Manchester United,English Premier League,France,82
208808,Q. Promes,Quincy Promes,Spartak Moscow,Russian Premier League,Netherlands,82
208618,Lucas Vázquez,Lucas Vázquez Iglesias,Real Madrid CF,Spanish Primera División,Spain,82
208421,Saúl,Saúl Ñíguez Esclápez,Atlético Madrid,Spanish Primera División,Spain,82
207863,Felipe,Felipe Augusto de Almeida Monteiro,FC Porto,Portuguese Primeira Liga,Brazil,82
207664,C. Bacca,Carlos Bacca,Villarreal CF,Spanish Primera División,Colombia,82
207471,F. Vázquez,Franco Vázquez,Sevilla FC,Spanish Primera División,Italy,82
207410,M. Kovačić,Mateo Kovačić,Real Madrid CF,Spanish Primera División,Croatia,82
206652,Sergio Rico,Sergio Rico González,Sevilla FC,Spanish Primera División,Spain,82
206545,Manu Trigueros,Manuel Trigueros Muñoz,Villarreal CF,Spanish Primera División,Spain,82
205452,A. Rüdiger,Antonio Rüdiger,Chelsea,English Premier League,Germany,82
204970,F. Thauvin,Florian Thauvin,Olympique de Marseille,French Ligue 1,France,82
204639,S. Savić,Stefan Savić,Atlético Madrid,Spanish Primera División,Montenegro,82
204525,Iñigo Martínez,Iñigo Martínez Berridi,Real Sociedad,Spanish Primera División,Spain,82
204277,Roque Mesa,Roque Mesa Quevedo,Swansea City,English Premier League,Spain,82
203551,A. Florenzi,Alessandro Florenzi,Roma,Italian Serie A,Italy,82
203483,D. Klaassen,Davy Klaassen,Everton,English Premier League,Netherlands,82
202857,K. Bellarabi,Karim Bellarabi,Bayer 04 Leverkusen,German Bundesliga,Germany,82
202652,R. Sterling,Raheem Sterling,Manchester City,English Premier League,England,82
202651,Suso,Jesús Joaquín Fernández Sáez,Milan,Italian Serie A,Spain,82
202477,Deulofeu,Gerard Deulofeu Lázaro,FC Barcelona,Spanish Primera División,Spain,82
202335,E. Dier,Eric Dier,Tottenham Hotspur,English Premier League,England,82
201862,M. Rojo,Marcos Rojo,Manchester United,English Premier League,Argentina,82
200949,Lucas,Lucas Rodrigues M. Silva,Paris Saint-Germain,French Ligue 1,Brazil,82
200104,H. Son,Heung Min Son,Tottenham Hotspur,English Premier League,Korea Republic,82
199845,F. Acerbi,Francesco Acerbi,Sassuolo,Italian Serie A,Italy,82
199503,G. Xhaka,Granit Xhaka,Arsenal,English Premier League,Switzerland,82
198164,Jonathan Viera,Jonathan Viera Ramos,UD Las Palmas,Spanish Primera División,Spain,82
197965,Pizzi,Luis Miguel Afonso Fernandes,SL Benfica,Portuguese Primeira Liga,Portugal,82
195093,Willian José,Willian José da Silva,Real Sociedad,Spanish Primera División,Brazil,82
194794,A. Yarmolenko,Andriy Yarmolenko,Borussia Dortmund,German Bundesliga,Ukraine,82
193698,O. Baumann,Oliver Baumann,TSG 1899 Hoffenheim,German Bundesliga,Germany,82
193532,G. Medel,Gary Medel,Beşiktaş JK,Turkish Süper Lig,Chile,82
193469,Víctor Ruíz,Víctor Ruíz Torre,Villarreal CF,Spanish Primera División,Spain,82
193348,X. Shaqiri,Xherdan Shaqiri,Stoke City,English Premier League,Switzerland,82
193082,J. Cuadrado,Juan Cuadrado,Juventus,Italian Serie A,Colombia,82
190483,Douglas Costa,Douglas Costa de Souza,Juventus,Italian Serie A,Brazil,82
190456,N. Clyne,Nathaniel Clyne,Liverpool,English Premier League,England,82
189560,Iborra,Vicente Iborra de la Fuente,Leicester City,English Premier League,Spain,82
188942,V. Wanyama,Victor Wanyama,Tottenham Hotspur,English Premier League,Kenya,82
188803,Taison,Taison Barcellos Freda,Shakhtar Donetsk,Ukrainian Premier League,Brazil,82
187754,Marlos,Marlos Romero Bonfim,Shakhtar Donetsk,Ukrainian Premier League,Ukraine,82
187072,L. Stindl,Lars Stindl,Borussia Mönchengladbach,German Bundesliga,Germany,82
186627,M. Balotelli,Mario Balotelli,OGC Nice,French Ligue 1,Italy,82
186561,A. Ramsey,Aaron Ramsey,Arsenal,English Premier League,Wales,82
186153,W. Szczęsny,Wojciech Szczęsny,Juventus,Italian Serie A,Poland,82
184484,G. Sigurðsson,Gylfi Sigurðsson,Everton,English Premier League,Iceland,82
184267,Y. Brahimi,Yacine Brahimi,FC Porto,Portuguese Primeira Liga,Algeria,82
184200,M. Arnautović,Marko Arnautović,West Ham United,English Premier League,Austria,82
183711,J. Henderson,Jordan Henderson,Liverpool,English Premier League,England,82
183574,M. Kruse,Max Kruse,SV Werder Bremen,German Bundesliga,Germany,82
183497,O. Karnezis,Orestis Karnezis,Watford,English Premier League,Greece,82
183376,L. Fejsa,Ljubomir Fejsa,SL Benfica,Portuguese Primeira Liga,Serbia,82
182494,F. Muslera,Fernando Muslera,Galatasaray SK,Turkish Süper Lig,Uruguay,82
181786,V. Ćorluka,Vedran Ćorluka,Lokomotiv Moscow,Russian Premier League,Croatia,82
181291,G. Wijnaldum,Georginio Wijnaldum,Liverpool,English Premier League,Netherlands,82
179847,F. Fazio,Federico Fazio,Roma,Italian Serie A,Argentina,82
178509,O. Giroud,Olivier Giroud,Arsenal,English Premier League,France,82
178372,B. Ivanović,Branislav Ivanović,Zenit St. Petersburg,Russian Premier League,Serbia,82
178224,J. Hernández,Javier Hernández,West Ham United,English Premier League,Mexico,82
177600,Beñat,Beñat Etxebarria Urkiaga,Athletic Club de Bilbao,Spanish Primera División,Spain,82
177457,L. Bender,Lars Bender,Bayer 04 Leverkusen,German Bundesliga,Germany,82
177413,A. Witsel,Axel Witsel,,,Belgium,82
176600,K. Gameiro,Kévin Gameiro,Atlético Madrid,Spanish Primera División,France,82
174543,C. Bravo,Claudio Bravo,Manchester City,English Premier League,Chile,82
172723,A. Begović,Asmir Begović,Bournemouth,English Premier League,Bosnia Herzegovina,82
171919,Naldo,Ronaldo Aparecido Rodrigues,FC Schalke 04,German Bundesliga,Brazil,82
171833,D. Sturridge,Daniel Sturridge,Liverpool,English Premier League,England,82
169595,D. Rose,Danny Rose,Tottenham Hotspur,English Premier League,England,82
169416,C. Vela,Carlos Vela,Real Sociedad,Spanish Primera División,Mexico,82
168354,E. Viviano,Emiliano Viviano,Sampdoria,Italian Serie A,Italy,82
167431,G. Castro,Gonzalo Castro,Borussia Dortmund,German Bundesliga,Germany,82
165239,S. Nasri,Samir Nasri,Antalyaspor,Turkish Süper Lig,France,82
163824,A. Williams,Ashley Williams,Everton,English Premier League,Wales,82
163631,L. Baines,Leighton Baines,Everton,English Premier League,England,82
163489,A. Consigli,Andrea Consigli,Sassuolo,Italian Serie A,Italy,82
162347,João Moutinho,João Filipe Moutinho,AS Monaco,French Ligue 1,Portugal,82
158121,B. Costil,Benoît Costil,Girondins de Bordeaux,French Ligue 1,France,82
157481,Raúl Albiol,Raúl Albiol Tortajada,Napoli,Italian Serie A,Spain,82
150724,J. Hart,Joe Hart,West Ham United,English Premier League,England,82
150418,M. Gómez,Mario Gómez,VfL Wolfsburg,German Bundesliga,Germany,82
146760,Juanfran,Juan Francisco Torres Belén,Atlético Madrid,Spanish Primera División,Spain,82
144622,Raffael,Raffael Caetano de Araújo,Borussia Mönchengladbach,German Bundesliga,Brazil,82
143745,A. Turan,Arda Turan,FC Barcelona,Spanish Primera División,Turkey,82
135507,Fernandinho,Fernando Luiz Rosa,Manchester City,English Premier League,Brazil,82
113422,David Villa,David Villa Sánchez,New York City Football Club,USA Major League Soccer,Spain,82
108080,S. Lichtsteiner,Stephan Lichtsteiner,Juventus,Italian Serie A,Switzerland,82
104389,R. Jarstein,Rune Almenning Jarstein,Hertha BSC Berlin,German Bundesliga,Norway,82
231677,M. Rashford,Marcus Rashford,Manchester United,English Premier League,England,81
230666,Gabriel Jesus,Gabriel Fernando de Jesus,Manchester City,English Premier League,Brazil,81
227928,Nélson Semedo,Nélson Cabral Semedo,FC Barcelona,Spanish Primera División,Portugal,81
227055,Gelson Martins,Gelson Dany Batalha Martins,Sporting CP,Portuguese Primeira Liga,Portugal,81
222737,Malcom,Malcom Filipe Silva de Oliveira,Girondins de Bordeaux,French Ligue 1,Brazil,81
222028,J. Weigl,Julian Weigl,Borussia Dortmund,German Bundesliga,Germany,81
220793,D. Sánchez,Davinson Sánchez,Tottenham Hotspur,English Premier League,Colombia,81
217699,I. Slimani,Islam Slimani,Leicester City,English Premier League,Algeria,81
216354,A. Kramarić,Andrej Kramarić,TSG 1899 Hoffenheim,German Bundesliga,Croatia,81
216352,M. Brozović,Marcelo Brozović,Inter,Italian Serie A,Croatia,81
216201,Williams,Iñaki Williams Arthuer,Athletic Club de Bilbao,Spanish Primera División,Spain,81
216194,Dani García,Daniel Garcia Carrillo,SD Eibar,Spanish Primera División,Spain,81
213661,A. Christensen,Andreas Christensen,Chelsea,English Premier League,Denmark,81
212622,J. Kimmich,Joshua Kimmich,FC Bayern Munich,German Bundesliga,Germany,81
211368,Bruma,Armindo Tué Na Bangna,RB Leipzig,German Bundesliga,Portugal,81
210935,D. Berardi,Domenico Berardi,Sassuolo,Italian Serie A,Italy,81
210008,A. Rabiot,Adrien Rabiot,Paris Saint-Germain,French Ligue 1,France,81
209889,R. Guerreiro,Raphaël Guerreiro,Borussia Dortmund,German Bundesliga,Portugal,81
208830,J. Vardy,Jamie Vardy,Leicester City,English Premier League,England,81
208670,H. Ziyech,Hakim Ziyech,Ajax,Holland Eredivisie,Morocco,81
